post_campaign	channel
campaign1	Email
campaign2	Email
campaign3	Email
campaign4	Email
campaign5	Email
campaign6	Email
campaign7	Affiliates
campaign8	Affiliates
campaign9	Affiliates
campaign10	Affiliates
campaign11	Affiliates
campaign12	Affiliates
campaign13	Affiliates
campaign14	Affiliates
campaign15	Affiliates
campaign16	Email
campaign17	Affiliates
campaign18	Affiliates
campaign19	Affiliates
campaign20	Email
campaign21	Affiliates
campaign22	Affiliates
campaign23	Affiliates
campaign24	Affiliates
campaign25	Affiliates
campaign26	Paid Search
campaign27	Paid Search
campaign28	Paid Search
campaign29	Paid Search
campaign30	Paid Search
campaign31	Paid Search
campaign32	Paid Search
campaign33	Paid Search
campaign34	Paid Search
campaign35	Paid Search
campaign36	Paid Search
campaign37	Paid Search
campaign38	Paid Search
campaign39	Paid Search
campaign40	Paid Search
campaign41	Paid Search
campaign42	Paid Search
campaign43	Paid Search
campaign44	Paid Search
campaign45	Paid Search
campaign46	Paid Search
campaign47	Paid Search
campaign48	Paid Search
campaign49	Paid Search
campaign50	Paid Search
campaign51	Paid Search
campaign52	Paid Search
campaign53	Paid Search
campaign54	Paid Search
campaign55	Paid Search
campaign56	Paid Search
campaign57	Paid Search
campaign58	Paid Search
campaign59	Paid Search
campaign60	Paid Search
campaign61	Paid Search
campaign62	Paid Search
campaign63	Paid Search
campaign64	Paid Search
campaign65	Paid Search
campaign66	Paid Search
campaign67	Paid Search
campaign68	Paid Search
campaign69	Paid Search
campaign70	Paid Search
campaign71	Paid Search
campaign72	Paid Search
campaign73	Paid Search
campaign74	Paid Search
campaign75	Paid Search
campaign76	Paid Search
campaign77	Paid Search
campaign78	Paid Search
campaign79	Paid Search
campaign80	Paid Search
campaign81	Paid Search
campaign82	Paid Search
campaign83	Paid Search
campaign84	Paid Search
campaign85	Paid Search
campaign86	Paid Search
campaign87	Other Referrals
campaign88	Other Referrals
campaign89	Other Referrals
campaign90	Other Referrals
campaign91	Other Referrals
campaign92	Other Referrals
campaign93	Other Referrals
campaign94	Other Referrals
campaign95	Other Referrals
campaign96	Other Referrals
campaign97	Other Referrals
campaign98	Other Referrals
campaign99	Other Referrals
campaign100	Affiliates
campaign101	Natural Search
campaign102	Natural Search
campaign103	Email
campaign104	Email
campaign105	Email
campaign106	Email
campaign107	Email
campaign108	Email
campaign109	Email
campaign110	Email
campaign111	Email
campaign112	Affiliates
campaign113	Social Media
campaign114	Social Media
campaign115	Email
campaign116	Social Media
campaign117	Social Media
campaign118	Social Media
campaign119	Social Media
campaign120	Social Media
campaign121	Social Media
campaign122	Social Media
campaign123	Social Media
campaign124	Social Media
campaign125	Social Media
campaign126	Social Media
campaign127	Social Media
campaign128	Social Media
campaign129	Social Media
campaign130	Display Ads
campaign131	Display Ads
campaign132	Display Ads
campaign133	Display Ads
campaign134	Display Ads
campaign135	Display Ads
campaign136	Email
campaign137	Natural Search
campaign138	Natural Search
campaign139	Natural Search
campaign140	Natural Search
campaign141	Natural Search
campaign142	Natural Search
campaign143	Natural Search
campaign144	Natural Search
campaign145	Natural Search
campaign146	Natural Search
campaign147	Natural Search
campaign148	Natural Search
campaign149	Natural Search
campaign150	Natural Search
campaign151	Natural Search
campaign152	Natural Search
campaign153	Natural Search
campaign154	Natural Search
campaign155	Natural Search
campaign156	Natural Search
campaign157	Natural Search
campaign158	Natural Search
campaign159	Natural Search
campaign160	Natural Search
campaign161	Natural Search
campaign162	Natural Search
campaign163	Natural Search
campaign164	Natural Search
campaign165	Natural Search
campaign166	Natural Search
campaign167	Natural Search
campaign168	Natural Search
campaign169	Natural Search
campaign170	Natural Search
campaign171	Natural Search
campaign172	Natural Search
campaign173	Natural Search
campaign174	Natural Search
campaign175	Natural Search
campaign176	Natural Search
campaign177	Natural Search
campaign178	Natural Search
campaign179	Natural Search
campaign180	Natural Search
campaign181	Natural Search
campaign182	Natural Search
campaign183	Natural Search
campaign184	Natural Search
campaign185	Natural Search
campaign186	Natural Search
campaign187	Natural Search
campaign188	Natural Search
campaign189	Natural Search
campaign190	Paid Search
campaign191	Paid Search
campaign192	Paid Search
campaign193	Paid Search
campaign194	Paid Search
campaign195	Paid Search
campaign196	Paid Search
campaign197	Paid Search
campaign198	Paid Search
campaign199	Paid Search
campaign200	Paid Search
campaign201	Paid Search
campaign202	Paid Search
campaign203	Paid Search
campaign204	Paid Search
campaign205	Paid Search
campaign206	Paid Search
campaign207	Paid Search
campaign208	Paid Search
campaign209	Paid Search
campaign210	Paid Search
campaign211	Paid Search
campaign212	Paid Search
campaign213	Paid Search
campaign214	Paid Search
campaign215	Paid Search
campaign216	Paid Search
campaign217	Paid Search
campaign218	Paid Search
campaign219	Paid Search
campaign220	Paid Search
campaign221	Paid Search
campaign222	Paid Search
campaign223	Paid Search
campaign224	Paid Search
campaign225	Paid Search
campaign226	Paid Search
campaign227	Paid Search
campaign228	Paid Search
campaign229	Paid Search
campaign230	Paid Search
campaign231	Paid Search
campaign232	Paid Search
campaign233	Paid Search
campaign234	Paid Search
campaign235	Paid Search
campaign236	Paid Search
campaign237	Paid Search
campaign238	Paid Search
campaign239	Paid Search
campaign240	Paid Search
campaign241	Paid Search
campaign242	Paid Search
campaign243	Paid Search
campaign244	Paid Search
campaign245	Paid Search
campaign246	Paid Search
campaign247	Paid Search
campaign248	Paid Search
campaign249	Paid Search
campaign250	Paid Search
campaign251	Paid Search
campaign252	Paid Search
campaign253	Paid Search
campaign254	Paid Search
campaign255	Paid Search
campaign256	Paid Search
campaign257	Paid Search
campaign258	Paid Search
campaign259	Paid Search
campaign260	Paid Search
campaign261	Paid Search
campaign262	Paid Search
campaign263	Paid Search
campaign264	Paid Search
campaign265	Paid Search
campaign266	Paid Search
campaign267	Paid Search
campaign268	Paid Search
campaign269	Paid Search
campaign270	Paid Search
campaign271	Paid Search
campaign272	Paid Search
campaign273	Paid Search
campaign274	Paid Search
campaign275	Paid Search
campaign276	Paid Search
campaign277	Paid Search
campaign278	Paid Search
campaign279	Paid Search
campaign280	Paid Search
campaign281	Paid Search
campaign282	Paid Search
campaign283	Paid Search
campaign284	Paid Search
campaign285	Paid Search
campaign286	Paid Search
campaign287	Paid Search
campaign288	Paid Search
campaign289	Paid Search
campaign290	Paid Search
campaign291	Paid Search
campaign292	Email
campaign293	Email
campaign294	Email
campaign295	Social Media
campaign296	Display Ads
campaign297	Display Ads
campaign298	Display Ads
campaign299	Display Ads
campaign300	Display Ads
campaign301	Display Ads
campaign302	Display Ads
campaign303	Display Ads
campaign304	Display Ads
campaign305	Display Ads
campaign306	Display Ads
campaign307	Display Ads
campaign308	Display Ads
campaign309	Display Ads
campaign310	Display Ads
campaign311	Display Ads
campaign312	Display Ads
campaign313	Display Ads
campaign314	Display Ads
campaign315	Display Ads
campaign316	Display Ads
campaign317	Display Ads
campaign318	Display Ads
campaign319	Display Ads
campaign320	Display Ads
campaign321	Display Ads
campaign322	Display Ads
campaign323	Display Ads
campaign324	Display Ads
campaign325	Display Ads
campaign326	Display Ads
campaign327	Display Ads
campaign328	Display Ads
campaign329	Display Ads
campaign330	Display Ads
campaign331	Display Ads
campaign332	Display Ads
campaign333	Display Ads
campaign334	Display Ads
campaign335	Display Ads
campaign336	Display Ads
campaign337	Display Ads
campaign338	Display Ads
campaign339	Display Ads
campaign340	Display Ads
campaign341	Display Ads
campaign342	Display Ads
campaign343	Display Ads
campaign344	Display Ads
campaign345	Display Ads
campaign346	Display Ads
campaign347	Display Ads
campaign348	Display Ads
campaign349	Display Ads
campaign350	Display Ads
campaign351	Display Ads
campaign352	Display Ads
campaign353	Display Ads
campaign354	Display Ads
campaign355	Display Ads
campaign356	Display Ads
campaign357	Display Ads
campaign358	Display Ads
campaign359	Display Ads
campaign360	Display Ads
campaign361	Display Ads
campaign362	Display Ads
campaign363	Display Ads
campaign364	Display Ads
campaign365	Display Ads
campaign366	Display Ads
campaign367	Display Ads
campaign368	Display Ads
campaign369	Display Ads
campaign370	Display Ads
campaign371	Display Ads
campaign372	Display Ads
campaign373	Display Ads
campaign374	Display Ads
campaign375	Display Ads
campaign376	Display Ads
campaign377	Display Ads
campaign378	Display Ads
campaign379	Display Ads
campaign380	Display Ads
campaign381	Display Ads
campaign382	Display Ads
campaign383	Display Ads
campaign384	Display Ads
campaign385	Display Ads
campaign386	Display Ads
campaign387	Display Ads
campaign388	Display Ads
campaign389	Display Ads
campaign390	Display Ads
campaign391	Display Ads
campaign392	Display Ads
campaign393	Display Ads
campaign394	Display Ads
campaign395	Display Ads
campaign396	Display Ads
campaign397	Display Ads
campaign398	Display Ads
campaign399	Display Ads
campaign400	Display Ads
campaign401	Display Ads
campaign402	Display Ads
campaign403	Display Ads
campaign404	Display Ads
campaign405	Display Ads
campaign406	Display Ads
campaign407	Display Ads
campaign408	Display Ads
campaign409	Display Ads
campaign410	Display Ads
campaign411	Display Ads
campaign412	Display Ads
campaign413	Display Ads
campaign414	Display Ads
campaign415	Display Ads
campaign416	Display Ads
campaign417	Display Ads
campaign418	Display Ads
campaign419	Display Ads
campaign420	Display Ads
campaign421	Display Ads
campaign422	Display Ads
campaign423	Display Ads
campaign424	Display Ads
campaign425	Display Ads
campaign426	Display Ads
campaign427	Display Ads
campaign428	Display Ads
campaign429	Display Ads
campaign430	Display Ads
campaign431	Display Ads
campaign432	Display Ads
campaign433	Display Ads
campaign434	Display Ads
campaign435	Display Ads
campaign436	Display Ads
campaign437	Display Ads
campaign438	Display Ads
campaign439	Display Ads
campaign440	Display Ads
campaign441	Display Ads
campaign442	Display Ads
campaign443	Display Ads
campaign444	Display Ads
campaign445	Display Ads
campaign446	Display Ads
campaign447	Display Ads
campaign448	Display Ads
campaign449	Display Ads
campaign450	Display Ads
campaign451	Display Ads
campaign452	Display Ads
campaign453	Display Ads
campaign454	Display Ads
campaign455	Display Ads
campaign456	Display Ads
campaign457	Display Ads
campaign458	Display Ads
campaign459	Display Ads
campaign460	Display Ads
campaign461	Display Ads
campaign462	Display Ads
campaign463	Display Ads
campaign464	Display Ads
campaign465	Display Ads
campaign466	Display Ads
campaign467	Display Ads
campaign468	Display Ads
campaign469	Display Ads
campaign470	Display Ads
campaign471	Display Ads
campaign472	Display Ads
campaign473	Display Ads
campaign474	Display Ads
campaign475	Display Ads
campaign476	Display Ads
campaign477	Display Ads
campaign478	Display Ads
campaign479	Display Ads
campaign480	Display Ads
campaign481	Display Ads
campaign482	Display Ads
campaign483	Display Ads
campaign484	Display Ads
campaign485	Display Ads
campaign486	Display Ads
campaign487	Display Ads
campaign488	Display Ads
campaign489	Display Ads
campaign490	Display Ads
campaign491	Display Ads
campaign492	Display Ads
campaign493	Display Ads
campaign494	Display Ads
campaign495	Display Ads
campaign496	Display Ads
campaign497	Display Ads
campaign498	Display Ads
campaign499	Display Ads
campaign500	Display Ads
campaign501	Display Ads
campaign502	Display Ads
campaign503	Display Ads
campaign504	Display Ads
campaign505	Display Ads
campaign506	Display Ads
campaign507	Display Ads
campaign508	Display Ads
campaign509	Display Ads
campaign510	Display Ads
campaign511	Display Ads
campaign512	Display Ads
campaign513	Display Ads
campaign514	Display Ads
campaign515	Display Ads
campaign516	Display Ads
campaign517	Display Ads
campaign518	Display Ads
campaign519	Display Ads
campaign520	Display Ads
campaign521	Display Ads
campaign522	Display Ads
campaign523	Display Ads
campaign524	Display Ads
campaign525	Display Ads
campaign526	Display Ads
campaign527	Display Ads
campaign528	Display Ads
campaign529	Display Ads
campaign530	Display Ads
campaign531	Display Ads
campaign532	Display Ads
campaign533	Display Ads
campaign534	Display Ads
campaign535	Display Ads
campaign536	Display Ads
campaign537	Display Ads
campaign538	Display Ads
campaign539	Display Ads
campaign540	Display Ads
campaign541	Display Ads
campaign542	Display Ads
campaign543	Display Ads
campaign544	Display Ads
